"Source:","/Users/jackwoods/Documents/Balloon Tracker/Balloon Tracker PCB/Motherboard R3/Motherboard R3.kicad_sch"
"Date:","2023 August 13, Sunday 17:28:47"
"Tool:","Eeschema 7.0.2-0"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","28"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Height","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","PARTREV","SNAPEDA_PN","STANDARD"
"1","1","A1","Arduino_Nano_Every","MCU_Module:Arduino_Nano_Every","Module:Arduino_Nano","https://content.arduino.cc/assets/NANOEveryV3.0_sch.pdf","","","","","","","","","","",""
"2","1","BT1","2997","Trackuino:2997","Tracker Custom Library:BAT_2997","","","","Keystone Electronics","6.22mm","","","","","D","2997","Manufacturer Recommendations"
"3","1","BUZZ1","Buzzer","Device:Buzzer","Tracker Custom Library:XDCR_AI-1224-TWT-5V-R","~","","","","","","","","","","",""
"4","3","C1, C2, C3","Capacitor","Trackuino:Capacitor","Capacitor_SMD:C_1206_3216Metric","~","","","","","","","","","","",""
"5","1","D1","5V LDO","Trackuino:LED","LED_SMD:LED_1206_3216Metric","~","","","","","","","","","","",""
"6","1","D2","3.3V LDO","Trackuino:LED","LED_SMD:LED_1206_3216Metric","~","","","","","","","","","","",""
"7","3","D4, S2, S3","NETAV","Device:LED","LED_SMD:LED_1206_3216Metric","~","","","","","","","","","","",""
"8","1","IC1","MAX-M10S-00B","Trackuino:MAX-M10S-00B","Tracker Custom Library:MAXM10S00B","https://content.u-blox.com/sites/default/files/MAX-M10S_IntegrationManual_UBX-20053088.pdf","","2.7","","","U-Blox","MAX-M10S-00B","377-MAX-M10S-00B","https://www.mouser.co.uk/ProductDetail/u-blox/MAX-M10S-00B?qs=A6eO%252BMLsxmT0PfQYPb7LLQ%3D%3D","","",""
"9","1","J2","Conn_Coaxial","Connector:Conn_Coaxial","Tracker Custom Library:Molex SMA Edge Mount"," ~","","","","","","","","","","",""
"10","1","J3","10 Pin PicoBlade MOLEX","53048-1010:53048-1010","Connector_Molex:Molex_PicoBlade_53048-1010_1x10_P1.25mm_Horizontal","https://componentsearchengine.com/Datasheets/2/53048-1010.pdf","","3.7","","","Molex","53048-1010","538-53048-1010","https://www.mouser.co.uk/ProductDetail/Molex/53048-1010?qs=th8CuLdcYnkN%252Bd6WV%252BYS%2FA%3D%3D","","",""
"11","1","L1","Lora","Trackuino:LoRa","Tracker Custom Library:Adafruit LoRa Breakout","","","","","","","","","","","",""
"12","1","P1","Terminal Block x2","Trackuino:Terminal Block x2","Tracker Custom Library:Terminal Block x2","","","","","","","","","","","",""
"13","5","R1, R2, R4, R7, R9","Resistor","Trackuino:Resistor","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","","",""
"14","2","R3, R5","1K","Trackuino:Resistor","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","","",""
"15","1","R6","480K","Trackuino:Resistor","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","","",""
"16","1","SD1","~","Trackuino:MicroSD_Breakout_Board+","Tracker Custom Library:Adafruit 5V SD Breakout Brd+","","","","","","","","","","","",""
"17","1","T1","TMP36","Trackuino:TMP36","Tracker Custom Library:TMP36","","","","","","","","","","","",""
"18","1","U5","LD1117S33TR_SOT223","Regulator_Linear:LD1117S33TR_SOT223","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf","","","","","","","","","","",""
"19","1","U6","LD1117S50TR_SOT223","Regulator_Linear:LD1117S50TR_SOT223","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf","","","","","","","","","","",""
