"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U8";"Terminal Block x3";1;"Terminal Block x3";;;
2;"C1,C2,C3";"Capacitor";3;"Capacitor";;;
3;"U7";"TMP36";1;"TMP36";;;
4;"U6";"SOT-223-3_TabPin2";1;"LD1117S50TR_SOT223";;;
5;"J1";"SMA Jack";1;"Conn_Coaxial";;;
6;"SW1";"Button";1;"SW_Push_Dual";;;
7;"P1";"Terminal Block x2";1;"Terminal Block x2";;;
8;"U2";"GPS";1;"GPS";;;
9;"U1";"Radiometrix HX1";1;"Radiometrix HX1";;;
10;"R3,R2,R1";"Resistor";3;"Resistor";;;
11;"U3";"Logic Level Converter - Bi-Directional";1;"Logic Level Converter - Bi-Directional";;;
12;"U5";"SOT-223-3_TabPin2";1;"LD1117S33TR_SOT223";;;
13;"U4";"OpenLog";1;"OpenLog";;;
14;"D2,D1,D3";"LED";3;"LED";;;
15;"A1";"Arduino_Nano";1;"Arduino_Nano_Every";;;
16;"BZ1";"Buzzer";1;"Buzzer";;;
